"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"43","Kerala","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","310898953.29"
"44","Jharkhand","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","227628508.2"
"45","Karnataka","Shri Ajay Makan (2024-30) (2024-2030)","Elected MP","147000000"
"46","Bihar","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","186200000"
"47","Uttar Pradesh","Shri Amar Pal Maurya (2024-30) (2024-2030)","Elected MP","147000000"
"48","Telangana","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","147000000"
"49","Himachal Pradesh","Shri Anurag Sharma (2026-32) (2026-2032)","Elected MP","49000000"
"50","Uttar Pradesh","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","223492764.11"
"51","Madhya Pradesh","Shri Ashok Singh (2024-30) (2024-2030)","Elected MP","147000000"
"52","Maharashtra","Shri Ashokrao Shankarrao Chavan (2024-30) (2024-2030)","Elected MP","147000000"
"53","Odisha","Shri Ashwini Vaishnaw (2024-30) (2024-2030)","Elected MP","265563957.11"
"54","Telangana","Shri B. Parthasaradhi Reddy (2022-28) (2022-2028)","Elected MP","244365104"
"55","Uttar Pradesh","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","196063957.11"
"56","Gujarat","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","171500000"
"57","Uttar Pradesh","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","196063957.11"
"58","Jharkhand","Shri Baidyanath Ram (2026-32) (2026-2032)","Elected MP","49000000"
"59","Madhya Pradesh","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","147000000"
"60","Madhya Pradesh","Shri Banshilal Gurjar (2024-30) (2024-2030)","Elected MP","147000000"
"61","Andhra Pradesh","Shri Bhashyam Rama Krishna (2026-32) (2026-2032)","Elected MP","49000000"
"62","Assam","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","98000000"
"63","West Bengal","Shri Biswajit Sinha (Rahul Sinha) (2026-32) (2026-2032)","Elected MP","49000000"
"64","Uttar Pradesh","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","196063957.11"
"65","Kerala","Shri C. Sadanandan Master (2025-31) (2025-2031)","Nominated MP","73500000"
"66","Maharashtra","Shri Chandrakant Damodar Handore (2024-30) (2024-2030)","Elected MP","147000000"
"67","Jammu And Kashmir","Shri Chowdry Mohammad Ramzan (2025-31) (2025-2031)","Elected MP","73500000"
"68","Tamil Nadu","Shri Christopher Manickam (2026-32) (2026-2032)","Elected MP","49356476.5"
"69","Rajasthan","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","147000000"
"70","Tamil Nadu","Shri Constandine Ravindran (2026-32) (2026-2032)","Elected MP","49356476.5"
"71","Telangana","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","239919406.11"
"72","Odisha","Shri Debashish Samantaray (2026-30) (2026-2030)","Elected MP","23800006"
"73","West Bengal","Shri Derek O' Brien (2023-29) (2023-2029)","Elected MP","171500000"
"74","Chhattisgarh","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","170837637.76"
"75","Maharashtra","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","220383643.11"
"76","Odisha","Shri Dilip Kumar Ray (2026-32) (2026-2032)","Elected MP","49000000"
"77","Sikkim","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","150170726.11"
"78","Karnataka","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","147000000"
"79","Rajasthan","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","196063957.11"
"80","Andhra Pradesh","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","147000000"
"81","Gujarat","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","147000000"
"82","Jammu And Kashmir","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","196063957.11"
"83","Jammu And Kashmir","Shri Gurwinder Singh Oberoi (2025-31) (2025-2031)","Elected MP","73500000"
"84","Punjab","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","220984094.27"
"85","Uttar Pradesh","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","226801049.11"
"86","Kerala","Shri Haris Beeran (2024-30) (2024-2030)","Elected MP","122500000"
"87","Himachal Pradesh","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","147000000"
"88","West Bengal","Shri Harsh Vardhan Shringla (2025-31) (2025-2031)","Nominated MP","73500000"
"89","Tamil Nadu","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","89248285.42"
"90","Tamil Nadu","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","220563957.11"
"91","Maharashtra","Shri Imran Pratapgarhi (2022-28) (2022-2028)","Elected MP","196000000"
"92","Gujarat","Shri Jagat Prakash Nadda (2024-30) (2024-2030)","Elected MP","147000000"
"93","Karnataka","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","196063957.11"
"94","Karnataka","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","220563957.11"
"95","Meghalaya","Shri James Pangsang Kongkal Sangma (2026-32) (2026-2032)","Elected MP","49000000"
"96","Uttar Pradesh","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","196063957.11"
"97","Uttar Pradesh","Shri Jayant Chaudhary (2022-28) (2022-2028)","Elected MP","214074707.67000002"
"98","Assam","Shri Jogen Mohan (2026-32) (2026-2032)","Elected MP","49000000"
"99","Kerala","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","122500000"
"100","Tamil Nadu","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","238513975.53"
"101","Tamil Nadu","Shri Kamal Haasan (2025-31) (2025-2031)","Elected MP","89248285.42"
"102","Assam","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","98000000"
"103","Uttar Pradesh","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","196063957.11"
"104","Haryana","Shri Karamvir Singh Singh Boudh (2026-32) (2026-2032)","Elected MP","49000000"
"105","Haryana","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","196000000"
"106","Gujarat","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","171500000"
"107","Mizoram","Shri Khiangte Laltluangkima (2026-32) (2026-2032)","Elected MP","24500000"
"108","Bihar","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","235770091.81"
"109","Tamil Nadu","Shri L. K. Sudhish (2026-32) (2026-2032)","Elected MP","49356476.5"
"110","Karnataka","Shri Lahar Singh Siroya (2022-28) (2022-2028)","Elected MP","206278088.11"
"111","Andhra Pradesh","Shri Lingamaneni Ramesh (2026-32) (2026-2032)","Elected MP","49000000"
"112","Karnataka","Shri M. Nagaraja (2026-32) (2026-2032)","Elected MP","49000000"
"113","Rajasthan","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","147000000"
"114","Uttarakhand","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","147000000"
"115","Madhya Pradesh","Shri Mahesh Kewat (2026-32) (2026-2032)","Elected MP","49000000"
"116","Karnataka","Shri Mallikarjun Kharge (2026-32) (2026-2032)","Elected MP","49063957.11"
"117","Bihar","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","235263957.11"
"118","Odisha","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","196063957.11"
"119","Odisha","Shri Manmohan Samal (2026-32) (2026-2032)","Elected MP","49000000"
"120","Karnataka","Shri Mansoor Ali Khan (2026-32) (2026-2032)","Elected MP","49000000"
"121","Andhra Pradesh","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","171296045.11"
"122","Gujarat","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","147000000"
"123","Andhra Pradesh","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","147000000"
"124","Maharashtra","Shri Milind Murli Deora (2024-30) (2024-2030)","Elected MP","147000000"
"125","Uttar Pradesh","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","196063957.11"
"126","West Bengal","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","147000000"
"127","Rajasthan","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","196063957.11"
"128","West Bengal","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","171500000"
"129","Delhi","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","160837070"
"130","Karnataka","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","147450000"
"131","Uttarakhand","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","222043184.71"
"132","Uttar Pradesh","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","147000000"
"133","Rajasthan","Shri Neeraj Dangi (2026-32) (2026-2032)","Elected MP","49000000"
"134","Uttar Pradesh","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","236483662.11"
"135","Maharashtra","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","122500000"
"136","Bihar","Shri Nitin Nabin (2026-32) (2026-2032)","Elected MP","49000000"
"137","Tamil Nadu","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","236312242.52"
"138","Kerala","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","122500000"
"139","Tamil Nadu","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","89248285.42"
"140","Assam","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","220563957.11"
"141","Andhra Pradesh","Shri Paka Venkata Satyanarayana (2025-28) (2025-2028)","Elected MP","98000000"
"142","Maharashtra","Shri Parth Ajit Pawar (2026-32) (2026-2032)","Elected MP","49000000"
"143","Karnataka","Shri Pawan Khera (2026-32) (2026-2032)","Elected MP","49000000"
"144","Jharkhand","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","178564551.09"
"145","Maharashtra","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","147000000"
"146","West Bengal","Shri Prakash Chik Baraik (2026-29) (2026-2029)","Elected MP","49662892"
"147","Assam","Shri Pramod Boro (2026-32) (2026-2032)","Elected MP","49000000"
"148","Rajasthan","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","196063957.11"
"149","Tamil Nadu","Shri Praveen Chakravarthy (2026-28) (2026-2028)","Elected MP","49356476.5"
"150","Tamil Nadu","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","260812242.52"
"151","Tamil Nadu","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","236312242.52"
"152","Punjab","Shri Raghav Chadha (2022-28) (2022-2028)","Elected MP","237229207.25"
"153","West Bengal","Shri Rajeev Kumar (2026-32) (2026-2032)","Elected MP","49000000"
"154","Chhattisgarh","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","271174394.23"
"155","Gujarat","Shri Rajesh Parmanand Shukla (2026-32) (2026-2032)","Elected MP","49000000"
"156","Tripura","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","122500000"
"157","Punjab","Shri Rajinder Gupta (2025-28) (2025-2028)","Elected MP","49000000"
"158","Madhya Pradesh","Shri Rajneesh Kumar Agrawal (2026-32) (2026-2032)","Elected MP","49000000"
"159","Bihar","Shri Ram Nath Thakur (2026-32) (2026-2032)","Elected MP","65673638.730000004"
"160","Maharashtra","Shri Ramdas Bandu Athawale (2026-32) (2026-2032)","Elected MP","49000000"
"161","Uttar Pradesh","Shri Ramji (2020-26) (2020-2026)","Elected MP","174518577.11"
"162","Uttar Pradesh","Shri Ramji Lal Suman (2024-30) (2024-2030)","Elected MP","147000000"
"163","Maharashtra","Shri Ramrao Sakharam Wadkute (2026-32) (2026-2032)","Elected MP","49000000"
"164","Rajasthan","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","196063957.11"
"165","Uttar Pradesh","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","147000000"
"166","Telangana","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","152732534.11"
"167","Assam","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","220563957.11"
"168","Andhra Pradesh","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","170413583.79"
"169","Andhra Pradesh","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","224621383.11"
"170","Gujarat","Shri S. Jaishankar (2023-29) (2023-2029)","Elected MP","171500000"
"171","Tamil Nadu","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","239763792.52"
"172","Puducherry","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","292881856.49"
"173","Tamil Nadu","Shri S.R. Sivalingam (2025-31) (2025-2031)","Elected MP","89248285.42"
"174","Goa","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","171500000"
"175","Jammu And Kashmir","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","73500000"
"176","West Bengal","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","147000000"
"177","West Bengal","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","171500000"
"178","Andhra Pradesh","Shri Sana Sathish Babu (2026-32) (2026-2032)","Elected MP","49063978"
"179","Kerala","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","220563957.11"
"180","Haryana","Shri Sanjay Bhatia (2026-32) (2026-2032)","Elected MP","49000000"
"181","Bihar","Shri Sanjay Kumar Jha (2024-30) (2024-2030)","Elected MP","186200000"
"182","Maharashtra","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","196063957.11"
"183","Uttar Pradesh","Shri Sanjay Seth (2024-30) (2024-2030)","Elected MP","147000000"
"184","Delhi","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","184466426.11"
"185","Bihar","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","186200000"
"186","Punjab","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","196359074.44000003"
"187","Jammu And Kashmir","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","73500000"
"188","Bihar","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","235263957.11"
"189","Chandigarh","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","147000000"
"190","Bihar","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","237168443.49"
"191","Bihar","Shri Shivesh Kumar (2026-32) (2026-2032)","Elected MP","49000000"
"192","Haryana","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","147000000"
"193","Odisha","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","147000000"
"194","Odisha","Shri Sujeet Kumar (2026-32) (2026-2032)","Elected MP","49000000"
"195","Uttar Pradesh","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","220563957.11"
"196","Arunachal Pradesh","Shri Tai Tagak (2026-32) (2026-2032)","Elected MP","49000000"
"197","Madhya Pradesh","Shri Tarun Chugh (2026-32) (2026-2032)","Elected MP","49000000"
"198","Uttar Pradesh","Shri Tejveer Singh (2024-30) (2024-2030)","Elected MP","147000000"
"199","Assam","Shri Terash Gowalla (2026-32) (2026-2032)","Elected MP","49000000"
"200","Tamil Nadu","Shri Tiruchi Siva (2026-32) (2026-2032)","Elected MP","49356476.5"
"201","Maharashtra","Shri Ujjwal Deorao Nikam (2025-31) (2025-2031)","Nominated MP","73500000"
"202","Bihar","Shri Upendra Kushwaha (2026-32) (2026-2032)","Elected MP","49000000"
"203","Andhra Pradesh","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","196063957.11"
"204","Andhra Pradesh","Shri Vijay Chintakayala (2026-32) (2026-2032)","Elected MP","49000000"
"205","Maharashtra","Shri Vinod Shridhar Tawde (2026-32) (2026-2032)","Elected MP","49000000"
"206","Madhya Pradesh","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","220563957.11"
"207","Andhra Pradesh","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","147000000"
"208","Manipur","Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032)","Elected MP","49000000"
"209","Uttar Pradesh","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","196994373.87"
"210","Uttar Pradesh","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","196063957.11"
"211","Uttar Pradesh","Smt. Jaya Amitabh Bachchan (2024-30) (2024-2030)","Elected MP","147000000"
"212","Kerala","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","220563957.11"
"213","Chhattisgarh","Smt. Laxmi Verma (2026-32) (2026-2032)","Elected MP","49000000"
"214","Jharkhand","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","232524001.2"
"215","West Bengal","Smt. Mamata Thakur (2024-30) (2024-2030)","Elected MP","147000000"
"216","Maharashtra","Smt. Maya Chintaman Ivnate (2026-32) (2026-2032)","Elected MP","49000000"
"217","Madhya Pradesh","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","147000000"
"218","Karnataka","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","215972051.45"
"219","Kerala","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","196063957.11"
"220","Chhattisgarh","Smt. Phulo Devi Netam (2026-32) (2026-2032)","Elected MP","49000000"
"221","Tamil Nadu","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","89248285.42"
"222","Chhattisgarh","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","246780257.87"
"223","Haryana","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","98000000"
"224","Telangana","Smt. Renuka Chowdhury (2024-30) (2024-2030)","Elected MP","147000000"
"225","Nagaland","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","206563957.11"
"226","Uttar Pradesh","Smt. Sadhna Singh (2024-30) (2024-2030)","Elected MP","147000000"
"227","West Bengal","Smt. Sagarika Ghose (2024-30) (2024-2030)","Elected MP","147000000"
"228","Uttar Pradesh","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","196063957.11"
"229","Uttar Pradesh","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","173830159.11"
"230","Rajasthan","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","147000000"
"231","Karnataka","Smt. Sudha Murty (2024-30) (2024-2030)","Nominated MP","147000000"
"232","Odisha","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","196084721.4"
"233","Madhya Pradesh","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","196063957.11"
"Grand Total"," "," "," ","33,73,64,82,301.82"
